name,longitude,latitude
玉溪市,102.527197,24.347324
南平市,118.17771,26.641774
孝感市,113.957037,30.917766
沈阳市,123.465035,41.677284
湘西土家族苗族自治州,109.738906,28.31195
丹东市,124.35445,40.000787
伊春市,128.841125,47.727535
黄南藏族自治州,102.015248,35.519548
巴彦淖尔市,107.387657,40.743213
德阳市,104.397894,31.126855
临沧市,100.08879,23.883955
牡丹江市,129.633168,44.551653
阿坝藏族羌族自治州,102.224653,31.899413
达州市,107.467758,31.209121
广州市,113.264385,23.12911
庆阳市,107.643571,35.70898
乐东黎族自治县,109.173054,18.750259
泸州市,105.442285,28.871805
沧州市,116.838834,38.304477
邵阳市,111.467674,27.23895
济宁市,116.587282,35.414982
白银市,104.138771,36.545261
乌鲁木齐市,87.616848,43.825592
蚌埠市,117.388512,32.91663
丽江市,100.22775,26.855047
上饶市,117.943433,28.454863
辽阳市,123.236974,41.267794
迪庆藏族自治州,99.702583,27.818807
武汉市,114.305469,30.593175
绍兴市,120.580364,30.030192
阜阳市,115.814504,32.890479
宝鸡市,107.237743,34.363184
五指山市,109.516925,18.775146
潜江市,112.899762,30.402167
雅安市,103.042375,30.010602
德宏傣族景颇族自治州,98.584895,24.433353
桂林市,110.179953,25.234479
福州市,119.296389,26.074268
长治市,113.116404,36.195409
定西市,104.592225,35.606978
柳州市,109.428608,24.326291
安庆市,117.115101,30.531919
东方市,108.651815,19.095351
拉萨市,91.172148,29.652341
贵港市,109.598926,23.11153
咸宁市,114.322616,29.841362
通辽市,122.243444,43.652889
咸阳市,108.709136,34.32987
钦州市,108.654146,21.979933
衡阳市,112.572018,26.893368
龙岩市,117.017295,25.075119
遂宁市,105.592803,30.53292
忻州市,112.734174,38.416663
楚雄彝族自治州,101.527992,25.045513
齐齐哈尔市,123.918186,47.354348
抚顺市,123.957208,41.880872
烟台市,121.447852,37.464539
毕节市,105.291702,27.283908
固原市,106.24261,36.015855
西双版纳傣族自治州,100.796984,22.009113
郴州市,113.014984,25.770532
北京城区,116.407394,39.904211
